player,team,total_minutes,most_frequent_position
Dani Carvajal,Real Madrid,609,RB
Dani Ceballos,Real Madrid,507,DM
Dani Gómez,Valencia,532,FW
Dani Olmo,Barcelona,623,AM
Dani Raba,Leganés,521,RW
Dani Rodríguez,Mallorca,1025,FW
Dani de Wit,Bochum,733,CM
Daniel Bandeira,Hellas Verona,336,CM
Daniel Batz,Mainz 05,0,
Daniel Bentley,Wolverhampton Wanderers,0,
Daniel Gleiber,Mainz 05,0,
Daniel Iversen,Leicester City,0,
Daniel Jebbison,Bournemouth,28,FW
Daniel Klein,Augsburg,0,
Daniel Luna,Mallorca,20,RM
Daniel Maldini,Monza,883,AM
Daniel Mikołajewski,Parma,0,
Daniel Mosquera,Hellas Verona,558,FW
Daniel Muñoz,Crystal Palace,1623,WB
Daniel Parejo,Villarreal,1164,CM
Daniel Peretz,Bayern Munich,270,GK
Daniel Podence,Wolverhampton Wanderers,48,AM
Daniel Requena,Villarreal,0,
Daniel Vivian,Athletic Club,1315,CB
Daniel Yáñez,Real Madrid,2,RW
Daniele Baselli,Como,22,CM
Daniele Ghilardi,Hellas Verona,730,CB
Daniele Padelli,Udinese,0,
Daniele Sommariva,Genoa,0,
Danilho Doekhi,Union Berlin,1440,CB
Danilo,Juventus,311,CB
Danilo,Nottingham Forest,14,DM
Danilo Cataldi,Fiorentina,802,DM
Danilo Cataldi,Lazio,0,
Danilo D'Ambrosio,Monza,448,CB
Danny Ings,West Ham United,166,FW
Danny Ward,Leicester City,135,GK
Danny Welbeck,Brighton & Hove Albion,1112,FW
Danny da Costa,Mainz 05,534,CB
Dante,Nice,834,CB
Dany Mota,Monza,813,AM
Daouda Traoré,Nice,0,
Dara O'Shea,Ipswich Town,1502,CB
Daren Mosengo,Le Havre,0,
Dario Daka,Lecce,0,
Dario Essugo,Las Palmas,1030,DM
Darius Fălcușan,Empoli,0,
Darko Brašanac,Leganés,954,DM
Darko Lazović,Hellas Verona,826,WB
Darryl Bakola,Marseille,12,CB
Darwin Machís,Valladolid,304,LW
Darwin Núñez,Liverpool,755,FW
Darío Fuentes,Sevilla,5,RB
David Akpan Ankeye,Genoa,36,FW
David Argüelles,Getafe,7,LM
David Brooks,Bournemouth,265,RW
David Costa,Lens,328,AM
David Jiménez,Real Madrid,0,
David Jurásek,Hoffenheim,166,LB
David Lelle,Dortmund,0,
David López,Girona,1567,CB
David Mokwa,Hoffenheim,0,
David Nemeth,St. Pauli,533,CB
David Neres,Napoli,547,LW
David Odogu,Wolfsburg,0,
David Otorbi,Valencia,14,LM
David Pejičić,Udinese,0,
David Raum,RB Leipzig,558,LB
David Raya,Arsenal,1800,GK
David Soria,Getafe,1710,GK
David Torres,Valladolid,823,CB
David Zec,Holstein Kiel,90,CB
David de Gea,Fiorentina,1350,GK
Davide Bartesaghi,Milan,5,LB
Davide Bettella,Monza,0,
Davide Bifulco,Monza,0,
Davide Calabria,Milan,240,RB
Davide Faraoni,Hellas Verona,94,RB
Davide Frattesi,Internazionale,514,CM
Davide Zappacosta,Atalanta,820,WB
Dawda Camara,Girona,0,
Dawid Bembnista,Empoli,0,
Dayann Methalie,Toulouse,0,
Dayot Upamecano,Bayern Munich,1249,CB
Dean Henderson,Crystal Palace,1800,GK
Dean Huijsen,Bournemouth,884,CB
Declan Rice,Arsenal,1385,CM
Dehmaine Assoumani,Nantes,40,AM
Deiver Machado,Lens,707,WB
Dejan Kulusevski,Tottenham Hotspur,1320,RM
Denis Genreau,Toulouse,63,AM
Denis Petrić,Lens,0,
Denis Suárez,Villarreal,238,LM
Denis Thomalla,Heidenheim,4,AM
Denis Vavro,Wolfsburg,991,CB
Denis Zakaria,Monaco,925,DM
Deniz Undav,Stuttgart,673,FW
Dennis Appiah,Saint-Étienne,1199,RB
Dennis Geiger,Hoffenheim,242,CM
Dennis Man,Parma,827,RW
Denzel Dumfries,Internazionale,915,WB
Derek Cornelius,Marseille,722,CB
Derrick Köhn,Werder Bremen,860,WB
Destiny Udogie,Tottenham Hotspur,1267,LB
Devis Vásquez,Empoli,1710,GK
Diadie Samassékou,Hoffenheim,246,CM
Diego,Leganés,417,FW
Diego Aguado,Real Madrid,0,
Diego Carlos,Aston Villa,830,CB
Diego Conde,Villarreal,1332,GK
Diego Coppola,Hellas Verona,1395,CB
Diego Ferrer,Getafe,0,
Diego Kochen,Barcelona,0,
Diego Llorente,Real Betis,1584,CB
Diego López,Valencia,1424,RM
Diego Moreira,Strasbourg,1362,LB
Diego Méndez,Rayo Vallecano,0,
Diego Pugno,Juventus,7,FW
Diego Rico,Getafe,1437,LB
Dilane Bakwa,Strasbourg,1478,RM
Dimitri Foulquier,Valencia,1090,RB
Dimitrios Stamatakis,Osasuna,0,
Dimitris Giannoulis,Augsburg,1155,WB
Dimitry Bertaud,Montpellier,270,GK
Dinko Horkaš,Las Palmas,211,GK
Diogo Dalot,Manchester United,1766,WB
Diogo Jota,Liverpool,604,FW
Diogo Leite,Union Berlin,1268,CB
Divin Mubama,Manchester City,0,
Djaoui Cissé,Rennes,0,
Djed Spence,Tottenham Hotspur,334,LB
Djené,Getafe,1352,CB
Djibril Sidibé,Toulouse,1088,CB
Djibril Sow,Sevilla,824,AM
Djordjije Medenica,Getafe,0,
Djylian N'Guessan,Saint-Étienne,5,FW
Dodi Lukebakio,Sevilla,1540,RW
Dodô,Fiorentina,1260,RB
Domagoj Bradarić,Hellas Verona,637,LB
Domen Črnigoj,Venezia,122,CM
Domingos André Ribeiro Almeida,Valencia,859,CM
Domingos Duarte,Getafe,362,CB
Dominic Calvert-Lewin,Everton,1382,FW
Dominic Solanke,Tottenham Hotspur,1257,FW
Dominic Vavassori,Atalanta,0,
Dominik Greif,Mallorca,1260,GK
Dominik Javorček,Holstein Kiel,92,LB
Dominik Kohr,Mainz 05,1332,CB
Dominik Szoboszlai,Liverpool,1132,AM
Donny van de Beek,Girona,942,AM
Donovan Léon,Auxerre,1350,GK
Donyell Malen,Dortmund,614,RM
Douglas,Nantes,1296,DM
Douglas Luiz,Juventus,299,DM
Drissa Camara,Parma,146,LW
Duje Ćaleta-Car,Lyon,1247,CB
Duván Zapata,Torino,587,FW
Dušan Vlahović,Juventus,1320,FW
Dwight McNeil,Everton,1140,AM
Dylan Batubinsika,Saint-Étienne,1404,CB
Désiré Doué,Paris Saint-Germain,616,LW
Eberechi Eze,Crystal Palace,1336,AM
Ed McJannet,Lecce,0,
Edan Diop,Monaco,0,
Eddie Nketiah,Arsenal,0,
Eddie Nketiah,Crystal Palace,584,AM
Eddy Kouadio,Fiorentina,0,
Ederson,Manchester City,1170,GK
Edhy Zuliani,Toulouse,0,
Edimilson Fernandes,Brest,602,CM
Edmond Tapsoba,Bayer Leverkusen,1435,CB
Edmond-Paris Maghoma,Brentford,78,LM
Edoardo Bove,Fiorentina,566,DM
Edoardo Bove,Roma,0,
Edoardo Corvi,Parma,0,
Edoardo Goldaniga,Como,946,CB
Edoardo Piana,Udinese,0,
Edoardo Zaia,Torino,0,
Edon Zhegrova,Lille,978,RW
Edson Álvarez,West Ham United,807,DM
Edu Expósito,Espanyol,45,CM
Eduard Sobol,Strasbourg,49,LB
Eduardo Camavinga,Real Madrid,520,CM
Egoitz Arana,Real Sociedad,0,
Egoitz Muñoz,Alavés,0,
El Bilal Touré,Stuttgart,314,FW
El Chadaille Bitshiabu,RB Leipzig,223,CB
Elayis Tavsan,Hellas Verona,0,
Eldor Shomurodov,Roma,127,FW
Elia Caprile,Cagliari,90,GK
Elia Caprile,Napoli,325,GK
Elia Plicco,Parma,0,
Elias Saad,St. Pauli,343,LW
Eliesse Ben Seghir,Monaco,1136,AM
Elif Elmas,RB Leipzig,44,CM
Eliot Matazo,Monaco,68,DM
Elisha Owusu,Auxerre,1390,CM
Elliot Anderson,Nottingham Forest,1201,DM
Ellyes Skhiri,Eintracht Frankfurt,989,CM
Elseid Hysaj,Lazio,28,LB
Elvis Rexhbeçaj,Augsburg,1112,CM
Elye Wahi,Marseille,574,FW
Emanuel Emegha,Strasbourg,959,FW
Emanuele Valeri,Parma,1308,LB
Emerson,Milan,1124,RB
Emerson Palmieri,West Ham United,1088,LB
Emi Buendía,Aston Villa,70,AM
Emil Audero,Como,720,GK
Emil Bohinen,Genoa,166,CM
Emil Holm,Bologna,578,RB
Emil Krafth,Newcastle United,241,CB
Emil Staugaard,St. Pauli,0,
Emile Smith Rowe,Fulham,1136,AM
Emiliano Martínez,Aston Villa,1755,GK
Emmanuel Agbadou,Reims,1260,CB
Emmanuel Biumla,Angers,913,CB
Emmanuel Ekong,Empoli,165,AM
Emmanuel Gyasi,Empoli,977,WB
Emmanuel Koum Mbondo,Marseille,12,WB
Emmanuel Sabbi,Le Havre,531,AM
Emre Can,Dortmund,783,CB
Endrick,Real Madrid,91,FW
Endris Scaramelli,Monza,0,
Eneko Ortiz,Alavés,0,
Enes Ünal,Bournemouth,345,FW
Enric Franquesa,Leganés,616,LB
Enric García,Girona,0,
Enrico Del Prato,Parma,856,CB
Enzo Barrenechea,Valencia,898,CM
Enzo Boyomo,Osasuna,1412,CB
Enzo Boyomo,Valladolid,270,CB
Enzo Ebosse,Udinese,90,CB
Enzo Fernández,Chelsea,1422,DM
Enzo Le Fée,Roma,318,CM
Enzo Loiodice,Las Palmas,291,CM
Enzo Millot,Stuttgart,1089,AM
Enzo Molebe,Lyon,0,
Enzo Sternal,Marseille,24,AM
Enzo Tchato,Montpellier,1144,RB
Eray Cömert,Valladolid,1073,CB
Eren Dinkçi,Freiburg,696,AM
Erencan Yardimci,Hoffenheim,45,DM
Erhan Mašović,Bochum,576,CB
Eric Bailly,Villarreal,579,CB
Eric Dier,Bayern Munich,208,CB
Eric García,Barcelona,536,CM
Eric Oelschlägel,St. Pauli,0,
Eric Smith,St. Pauli,1297,CB
Eric da Silva Moreira,Nottingham Forest,30,RB
Erik Ahlstrand,St. Pauli,43,RW
Erling Haaland,Manchester City,1792,FW
Ermedin Demirović,Stuttgart,1029,FW
Ernest Nuamah,Lyon,455,RW
Eros Maddy,Auxerre,8,LB
Esteban Lepaul,Angers,371,FW
Ethan Mbappé,Lille,77,AM
Ethan Nwaneri,Arsenal,239,RM
Ethan Pinnock,Brentford,1440,CB
Ethan Wheatley,Manchester United,0,
Etienne Eto'o,Rayo Vallecano,0,
Etienne Youte Kinkoue,Le Havre,1127,CB
Evan Ferguson,Brighton & Hove Albion,228,FW
Evanilson,Bournemouth,1370,FW
Evann Guessand,Nice,1454,FW
Everton Pereira,Nice,0,
Exequiel Palacios,Bayer Leverkusen,351,CM
Eybi Nije,Torino,272,FW
Ezequiel Ávila,Real Betis,574,FW
Ezra Mayers,West Ham United,0,
Ezri Konsa,Aston Villa,1541,CB
Fabian Bredlow,Stuttgart,0,
Fabian Rieder,Stuttgart,637,AM
Fabian Schär,Newcastle United,1467,CB
Fabiano Parisi,Fiorentina,312,LB
Fabien Centonze,Nantes,78,RB
Fabio Carvalho,Brentford,428,LW
Fabio Chiarodia,Mönchengladbach,48,LB
Fabio González,Las Palmas,53,CM
Fabio Miretti,Genoa,687,CM
Fabián Ruiz Peña,Paris Saint-Germain,884,LM
Facundo Buonanotte,Leicester City,1047,RW
Facundo Garcés,Alavés,0,
Facundo Medina,Lens,1322,CB
Faik Sakar,RB Leipzig,1,CM
Falaye Sacko,Montpellier,850,LB
Fares Chaïbi,Eintracht Frankfurt,612,FW
Farid El Melali,Angers,1083,LW
Faride Alidou,Hellas Verona,12,FW
Faris Pemi Moumbagna,Marseille,8,FW
Faustino Anjorin,Empoli,891,CM
Federico Accornero,Genoa,5,CM
Federico Barba,Como,431,CB
Federico Baschirotto,Lecce,1710,CB
Federico Brancolini,Empoli,0,
Federico Cassa,Atalanta,14,AM
Federico Chiesa,Liverpool,19,FW
Federico Chinetti,Como,0,
Federico Dimarco,Internazionale,1174,WB
Federico Gatti,Juventus,1389,CB
Federico Magro,Hellas Verona,0,
Federico Nardin,Roma,0,
Federico Ravaglia,Bologna,540,GK
Federico Steffanoni,Atalanta,0,
Federico Valverde,Real Madrid,1650,DM
Felix Agu,Werder Bremen,799,WB
Felix Nmecha,Dortmund,959,DM
Felix Passlack,Bochum,1316,RB
Fellipe Jack,Como,13,CB
Fer López,Celta Vigo,42,RW
Ferdi Kadioglu,Brighton & Hove Albion,385,LB
Ferland Mendy,Real Madrid,831,LB
Fermin López,Barcelona,396,AM
Fernando Calero,Espanyol,198,CB
Fernando Pacheco,Espanyol,0,
Ferrán Ruiz,Girona,18,DM
Ferrán Torres,Barcelona,517,LW
Festy Ebosele,Udinese,0,
Fikayo Tomori,Milan,636,CB
Filip Jørgensen,Chelsea,180,GK
Filip Marchwiński,Lecce,15,DM
Filip Stankovic,Venezia,1170,GK
Filipe Bordon,Lazio,0,
Filippo Mane,Dortmund,0,
Filippo Melegoni,Genoa,89,CM
Filippo Pagnucco,Juventus,0,
Filippo Terracciano,Milan,403,DM
Finley Stevens,St. Pauli,0,
Finn Dahmen,Augsburg,90,GK
Finn Ole Becker,Hoffenheim,0,
Finn Porath,Holstein Kiel,1136,WB
Fisayo Dele-Bashiru,Lazio,300,LM
Flavius Daniliuc,Hellas Verona,479,CB
Florent Hanin,Angers,1235,LB
Florent Mollet,Nantes,165,CM
Florent Muslija,Freiburg,168,LW
Florian Ayé,Auxerre,312,FW
Florian Grillitsch,Hoffenheim,601,CM
Florian Lejeune,Rayo Vallecano,1705,CB
Florian Micheler,Hoffenheim,32,CM
Florian Müller,Freiburg,180,GK
Florian Neuhaus,Mönchengladbach,92,AM
Florian Sotoca,Lens,908,FW
Florian Tardieu,Saint-Étienne,170,CM
Florian Thauvin,Udinese,1103,FW
Florian Wirtz,Bayer Leverkusen,1230,AM
Flynn Downes,Southampton,1219,CM
Folarin Balogun,Monaco,469,FW
Fortuño,Espanyol,0,
Fran,Real Madrid,0,
Fran Beltrán,Celta Vigo,1154,CM
Fran Garcia,Real Madrid,767,LB
Fran Vieites,Real Betis,360,GK
Francesco Acerbi,Internazionale,670,CB
Francesco Andrealli,Como,0,
Francesco Camarda,Milan,110,FW
Francesco Caputo,Empoli,6,FW
Francesco Gioielli,Napoli,0,
Francesco Mezzoni,Napoli,0,
Francesco Plaia,Torino,0,
Francesco Rossi,Atalanta,0,
Francesco Zampano,Venezia,1295,WB
Francis Onyeka,Bayer Leverkusen,0,
Francisco Conceição,Juventus,832,RW
Francisco Perez,Valencia,194,RM
Franck Honorat,Mönchengladbach,984,RW
Franco Carboni,Venezia,132,WB
Franco Cervi,Celta Vigo,99,LW
Franco Umeh-Chibueze,Crystal Palace,0,
Frank Feller,Heidenheim,0,
Frank Magri,Toulouse,393,FW
Frank Onyeka,Augsburg,1171,CM
Frank Onyeka,Brentford,25,CM
Frans Krätzig,Heidenheim,72,LW
Frans Krätzig,Stuttgart,56,LB
Franz Stolz,Genoa,0,
Fraser Forster,Tottenham Hotspur,450,GK
Frederic Guilbert,Lecce,883,RB
Frederik Rønnow,Union Berlin,1260,GK
Fredrik Jensen,Augsburg,125,AM
Frenkie de Jong,Barcelona,235,DM
Fábio Silva,Las Palmas,1045,FW
Félix Lemaréchal,Strasbourg,436,FW
Gabin Capuano,Lens,11,RW
Gabriel Bares,Montpellier,56,DM
Gabriel Charpentier,Parma,271,FW
Gabriel Gudmundsson,Lille,1079,LB
Gabriel Jesus,Arsenal,608,FW
Gabriel Magalhães,Arsenal,1538,CB
Gabriel Martinelli,Arsenal,1171,LW
Gabriel Moscardo,Reims,32,DM
Gabriel Osei Misehouy,Girona,222,FW
Gabriel Osho,Auxerre,1003,CB
Gabriel Strefezza,Como,1205,RW
Gabriel Suazo,Toulouse,913,WB
Gabriel Vidovic,Mainz 05,4,CM
Gabriele Guarino,Empoli,0,
Gabriele Zappa,Cagliari,1665,CB
Gaby Jean,Lecce,354,CB
Gael Lafont,Marseille,0,
Gaetano Castrovilli,Lazio,129,AM
Gaetano Oristanio,Venezia,1218,AM
Gastón Pereiro,Cagliari,0,
Gastón Pereiro,Genoa,31,CM
Gauthier Gallon,Rennes,45,GK
Gautier Larsonneur,Saint-Étienne,1530,GK
Gautier Lloris,Le Havre,1529,CB
Gavi,Barcelona,260,DM
Gaëtan Laborde,Nice,545,FW
Gaëtan Perrin,Auxerre,1191,AM
Gennaro Iaccarino,Napoli,0,
Geoffrey Kondogbia,Marseille,1100,CB
George Edmundson,Ipswich Town,2,CB
George Hirst,Ipswich Town,180,FW
George Ilenikhena,Monaco,548,FW
Georges Mikautadze,Lyon,610,FW
Georginio Rutter,Brighton & Hove Albion,1082,AM
Gerard Gumbau,Rayo Vallecano,450,CM
Gerard Martín,Barcelona,390,LB
Gerard Moreno,Villarreal,375,FW
Germán García,Real Betis,0,
Germán Valera,Valencia,148,LM
Gerrit Holtmann,Bochum,371,LB
Gerónimo Rulli,Marseille,1530,GK
Gerónimo Spina,Atlético Madrid,0,
Giacomo Raspadori,Napoli,273,FW
Giangiacomo Magnani,Hellas Verona,1040,CB
Gianluca Busio,Venezia,814,CM
Gianluca Caprari,Monza,771,AM
Gianluca Di Chiara,Parma,0,
Gianluca Gaetano,Cagliari,439,AM
Gianluca Gaetano,Napoli,0,
Gianluca Lapadula,Cagliari,212,FW
Gianluca Mancini,Roma,1658,CB
Gianluigi Donnarumma,Paris Saint-Germain,1101,GK
Gideon Mensah,Auxerre,1015,WB
Gift Orban,Hoffenheim,59,FW
Gift Orban,Lyon,186,FW
Gino Infantino,Fiorentina,0,
Gio Reyna,Dortmund,129,AM
Giorgi Mamardashvili,Valencia,1350,GK
Giorgio Altare,Venezia,753,CB
Giorgio De Marzi,Roma,0,
Giorgio Scalvini,Atalanta,55,CB
Giorgos Kyriakopoulos,Monza,1170,WB
Giovani Lo Celso,Real Betis,944,AM
Giovanni Di Lorenzo,Napoli,1620,RB
Giovanni Fabbian,Bologna,444,AM
Giovanni Leoni,Parma,278,CB
Giovanni Simeone,Napoli,290,FW
Giuliano Simeone,Atlético Madrid,687,RM
Giuseppe Ciocci,Cagliari,0,
Giuseppe Mazzaglia,Como,0,
Giuseppe Pezzella,Empoli,1099,WB
Gleison Bremer,Juventus,540,CB
Glen Kamara,Rennes,662,CM
Glenn Ngosso,Montpellier,0,
Goduine Koyalipou,Lens,67,FW
Godwill Kukonki,Manchester United,0,
Gonzalo García,Real Madrid,0,
Gonzalo Montiel,Sevilla,113,LB
Gonçalo Guedes,Wolverhampton Wanderers,442,AM
Gonçalo Ramos,Paris Saint-Germain,251,FW
Gorka Guruzeta,Athletic Club,977,FW
Gorka Rivera Alonso,Getafe,20,LM
Granit Xhaka,Bayer Leverkusen,1440,CM
Grant Ranos,Mönchengladbach,10,RW
Gregor Kobel,Dortmund,1260,GK
Grigoris Kastanos,Hellas Verona,439,AM
Grischa Prömel,Hoffenheim,174,CM
Grégoire Coudert,Brest,90,GK
Guela Doué,Strasbourg,1440,RB
Guglielmo Vicario,Tottenham Hotspur,990,GK
Guido Rodríguez,West Ham United,750,DM
Guillaume Restes,Toulouse,1511,GK
Guillem Cortiñas,Getafe,0,
Guillermo Fernandez,Barcelona,0,
Guillermo Maripán,Monaco,0,
Guillermo Maripán,Torino,720,CB
Guimissongui Ouattara,Strasbourg,69,RW
Gustav Isaksen,Lazio,1034,RW
Gvidas Gineitis,Torino,595,CM
Habib Diarra,Strasbourg,1370,AM
Hafiz Ibrahim,Reims,0,
Hakan Çalhanoğlu,Internazionale,871,CM
Hamari Traoré,Real Sociedad,311,RB
Hamed Junior Traorè,Auxerre,1174,AM
Hamed Junior Traorè,Bournemouth,0,
Hamza Choudhury,Leicester City,131,RB
Hamza Rafia,Lecce,923,AM
Hamzat Ojediran,Lens,334,CM
Han-Noah Massengo,Auxerre,26,CM
Hans Hateboer,Rennes,1109,CB
Hans Nicolussi Caviglia,Venezia,1339,CM
Haris Belkebla,Angers,1083,DM
Haris Tabakovic,Hoffenheim,312,FW
Harrison Armstrong,Everton,48,DM
Harrison Reed,Fulham,61,DM
Harry Amass,Manchester United,0,
Harry Clarke,Ipswich Town,379,RB
Harry Kane,Bayern Munich,1137,FW
Harry Maguire,Manchester United,810,CB
Harry Toffolo,Nottingham Forest,47,LB
Harry Wilson,Fulham,614,RW
Harry Winks,Leicester City,1148,DM
Harvey Barnes,Newcastle United,782,LW
Harvey Davies,Liverpool,0,
Harvey Elliott,Liverpool,48,LW
Hassane Kamara,Udinese,836,WB
Hauke Wahl,St. Pauli,1440,CB
Henri Koudossou,Augsburg,439,WB
Henrik Meister,Rennes,63,FW
Henrikh Mkhitaryan,Internazionale,1299,CM
Henry Cartwright,Leicester City,0,
Hernani,Parma,99,AM
Hervé Boua Dié,Lens,0,
Hervé Koffi,Lens,180,GK
Hianga Mananga Mbock,Brest,21,CM
Hicham Boudaoui,Nice,1161,CM
Himad Abdelli,Angers,1509,AM
Honest Ahanor,Genoa,85,WB
Hong Hyunseok,Mainz 05,369,AM
Horaţiu Moldovan,Atlético Madrid,0,
Hugo Barbet,Nantes,0,
Hugo Cuenca,Milan,0,
Hugo Duro,Valencia,1294,FW
Hugo Ekitike,Eintracht Frankfurt,1077,FW
Hugo Guillamón,Valencia,359,CM
Hugo Larsson,Eintracht Frankfurt,1061,CM
Hugo Magnetti,Brest,1171,LM
Hugo Novoa,Alavés,222,FW
Hugo Sotelo,Celta Vigo,626,CM
Hugo Álvarez,Celta Vigo,1236,LM
Hwang Hee-chan,Wolverhampton Wanderers,427,AM
Hákon Arnar Haraldsson,Lille,522,AM
Hákon Rafn Valdimarsson,Brentford,55,GK
Héctor Bellerín,Real Betis,524,RB
Héctor Fort,Barcelona,275,RB
Iago Aspas,Celta Vigo,1206,RW
Ian Maatsen,Aston Villa,313,LB
Ibrahim Kanté,Brest,0,
Ibrahim Mbaye,Paris Saint-Germain,87,RW
Ibrahim Salah,Brest,335,LW
Ibrahim Sangaré,Nottingham Forest,212,DM
Ibrahim Sissoko,Saint-Étienne,802,FW
Ibrahim Sulemana,Atalanta,30,CM
Ibrahima Konaté,Liverpool,1064,CB
Ibrahima Niane,Angers,695,FW
Ibrahima Sissoko,Bochum,1256,CM
Ibrahima Wadji,Saint-Étienne,104,RM
Idrissa Gana Gueye,Everton,1397,DM
Ifechukwu Ogbus,Freiburg,19,LB
Ifenna Dorgu,Genoa,0,
Iglesias,Getafe,1427,RB
Ignace Van Der Brempt,Como,734,RB
Ignatius Ganago,Nantes,241,FW
Igor,Brighton & Hove Albion,903,CB
Igor Matanovic,Eintracht Frankfurt,294,FW
Igor Miladinović,Saint-Étienne,17,RW
Igor Zubeldia,Real Sociedad,1385,CB
Ike Orazi,Reims,0,
Iker Almena,Girona,48,RW
Iker Bachiller,Leganés,0,
Iker Benito,Osasuna,37,LM
Iker Bravo,Udinese,237,FW
Iker Córdoba,Valencia,6,LB
Iker Losada,Real Betis,336,AM
Iker Muñoz,Osasuna,178,CM
Iker Álvarez,Villarreal,0,
Ilaix Moriba,Celta Vigo,962,CM
Ilias Akhomach,Villarreal,584,RM
Ilias Kostis,Atlético Madrid,0,
Iliesse Salhi,Nice,0,
Iliman Ndiaye,Everton,1516,LW
Illia Zabarnyi,Bournemouth,1800,CB
Ilyes Housni,Le Havre,197,FW
Imari Samuels,Brighton & Hove Albion,0,
Irvin Cardona,Espanyol,606,FW
Isaac Palazón Camacho,Rayo Vallecano,1125,FW
Isaac Romero,Sevilla,1230,FW
Isak Hansen-Aarøen,Werder Bremen,0,
Isak Hien,Atalanta,1102,CB
Isco,Real Betis,187,AM
Ismael Bekhoucha,Getafe,0,
Ismael Konate,Empoli,6,CB
Ismail Jakobs,Monaco,180,LB
Ismaila Sarr,Crystal Palace,1274,AM
Ismaily,Lille,164,LB
Ismaël Bennacer,Milan,58,DM
Ismaël Doukouré,Strasbourg,1239,CM
Ismaël Koné,Marseille,360,AM
Ismaëlo Ganiou,Lens,0,
Ismaïl Bouneb,Le Havre,0,
Ismeal Kabia,Arsenal,0,
Israel Domínguez,Sevilla,18,LW
Issa Diop,Fulham,1068,CB
Issa Doumbia,Venezia,263,CM
Issa Kaboré,Manchester City,0,
Issa Kaboré,Werder Bremen,24,LW
Issa Soumaré,Le Havre,631,FW
Issiaga Camara,Nice,20,CM
Issiaga Sylla,Montpellier,843,LB
Issiaka Touré,Saint-Étienne,0,
Ivan Ilić,Torino,716,CM
Ivan Ordets,Bochum,787,CB
Ivan Provedel,Lazio,1710,GK
Ivan Prtajin,Union Berlin,18,FW
Iván Balliu,Rayo Vallecano,703,RB
Iván Cuéllar,Mallorca,0,
Iván Gil,Las Palmas,0,
Iván Martín,Girona,1081,CM
Iván Sánchez,Valladolid,746,RM
Iván Villar,Celta Vigo,360,GK
