player,team,total_minutes,most_frequent_position
Iñaki Peña,Barcelona,1216,GK
Iñaki Rupérez,Real Sociedad,0,
Iñaki Williams,Athletic Club,1467,RW
Iñigo Lekue,Athletic Club,373,RB
Iñigo Martínez,Barcelona,1600,CB
Iñigo Ruiz de Galarreta,Athletic Club,884,DM
Jack Clarke,Ipswich Town,535,LW
Jack Fletcher,Manchester United,0,
Jack Grealish,Manchester City,580,LW
Jack Harrison,Everton,939,RW
Jack Hinshelwood,Brighton & Hove Albion,840,CM
Jack Stephens,Southampton,734,CB
Jack Taylor,Ipswich Town,366,DM
Jackson Irvine,St. Pauli,1440,CM
Jackson Porozo,Leganés,0,
Jackson Tchatchoua,Hellas Verona,939,WB
Jacob Bruun Larsen,Hoffenheim,400,WB
Jacob Bruun Larsen,Stuttgart,30,RM
Jacob Greaves,Ipswich Town,990,CB
Jacob Murphy,Newcastle United,1024,RW
Jacob Ramsey,Aston Villa,719,LW
Jacob Slater,Brighton & Hove Albion,0,
Jacob Wright,Manchester City,0,
Jacobo Ramón,Real Madrid,0,
Jacopo Bacci,Empoli,0,
Jacopo Fazzini,Empoli,493,CM
Jacopo Seghetti,Empoli,90,GK
Jacques Ekomie,Angers,289,LB
Jaden Philogene Bidace,Aston Villa,332,RW
Jadon Sancho,Chelsea,871,LW
Jahmai Simpson-Pusey,Manchester City,96,CB
Jaidon Anthony,Bournemouth,0,
Jailson Siqueira,Celta Vigo,451,CB
Jaime Mata,Las Palmas,369,FW
Jaka Bijol,Udinese,1620,CB
Jake O'Brien,Everton,36,CB
Jakov Medić,Bochum,986,CB
Jakub Jankto,Cagliari,0,
Jakub Kamiński,Wolfsburg,680,LB
Jakub Kiwior,Arsenal,327,CB
Jakub Moder,Brighton & Hove Albion,10,CM
Jakub Stolarczyk,Leicester City,270,GK
Jamal Musiala,Bayern Munich,1007,AM
Jamaldeen Jimoh,Aston Villa,0,
James Abankwah,Udinese,69,CB
James Bree,Southampton,283,RB
James Garner,Everton,253,RB
James Hill,Bournemouth,157,DM
James Justin,Leicester City,1644,RB
James Maddison,Tottenham Hotspur,1017,LM
James McConnell,Liverpool,0,
James Mcatee,Manchester City,38,AM
James Milner,Brighton & Hove Albion,169,DM
James Rodríguez,Rayo Vallecano,140,AM
James Sands,St. Pauli,13,CM
James Tarkowski,Everton,1701,CB
James Ward-Prowse,Nottingham Forest,400,CM
James Ward-Prowse,West Ham United,18,CM
Jamie Gittens,Dortmund,1037,LW
Jamie Leweling,Stuttgart,673,AM
Jamie Vardy,Leicester City,1461,FW
Jan Bednarek,Southampton,1160,CB
Jan Oblak,Atlético Madrid,1620,GK
Jan Paul van Hecke,Brighton & Hove Albion,1520,CB
Jan Salas,Mallorca,0,
Jan Schöppner,Heidenheim,1305,DM
Janik Haberer,Union Berlin,532,CM
Jann-Fiete Arp,Holstein Kiel,364,FW
Jannik Huth,Freiburg,0,
Jannik Vestergaard,Leicester City,931,CB
Jarell Quansah,Liverpool,228,CB
Jarrad Branthwaite,Everton,908,CB
Jarrod Bowen,West Ham United,1385,RM
Jarzinho Malanga,Stuttgart,2,CB
Jason Steele,Brighton & Hove Albion,180,GK
Jasper Cillessen,Las Palmas,1499,GK
Jasper Samooja,Lecce,0,
Jastin García,Girona,0,
Jaume Doménech,Valencia,0,
Javi Galán,Atlético Madrid,766,LB
Javi Hernández,Leganés,1171,LB
Javi López,Real Sociedad,860,LB
Javi Martínez,Osasuna,6,DM
Javi Martón,Athletic Club,53,FW
Javi Puado,Espanyol,1454,FW
Javi Rodríguez,Celta Vigo,1143,CB
Javi Sánchez,Valladolid,1062,CB
Javier Gil,Juventus,0,
Javier Guerra,Valencia,1086,CM
Javier Llabrés,Mallorca,57,LW
Javier Manquillo,Celta Vigo,494,CB
Javier Muñoz,Las Palmas,1261,CM
Javier Serrano,Atlético Madrid,0,
Jay Idzes,Venezia,1597,CB
Jay Stansfield,Fulham,1,AM
Jayce Fitzgerald,Manchester United,0,
Jaydee Canvot,Toulouse,181,CB
Jayden Danns,Liverpool,0,
Jayden Meghoma,Brentford,5,WB
Jean Butez,Como,90,GK
Jean Mattéo Bahoya,Eintracht Frankfurt,217,RM
Jean-Charles Castelletto,Nantes,1332,CB
Jean-Clair Todibo,West Ham United,701,CB
Jean-Daniel Akpa-Akpro,Monza,16,CM
Jean-Eudes Aholou,Angers,1247,DM
Jean-Kevin Duverne,Nantes,537,LB
Jean-Philippe Gbamin,Nantes,208,DM
Jean-Philippe Mateta,Crystal Palace,1514,FW
Jean-Ricner Bellegarde,Wolverhampton Wanderers,686,AM
Jeanuël Belocian,Bayer Leverkusen,68,WB
Jeff Ekhator,Genoa,404,FW
Jefferson Lerma,Crystal Palace,1094,CM
Jeffrey De Lange,Marseille,0,
Jeffrey Gouweleeuw,Augsburg,1350,CB
Jeffrey Schlupp,Crystal Palace,102,AM
Jelle Van Neck,Marseille,0,
Jens Cajuste,Ipswich Town,833,DM
Jens Grahl,Eintracht Frankfurt,0,
Jens Odgaard,Bologna,851,AM
Jens Stage,Werder Bremen,934,CM
Jenson Metcalfe,Everton,0,
Jeong Woo-yeong,Union Berlin,768,AM
Jeremie Boga,Nice,621,AM
Jeremie Frimpong,Bayer Leverkusen,1159,WB
Jeremy Doku,Manchester City,699,LW
Jeremy Sarmiento,Brighton & Hove Albion,9,AM
Jesper Karlsson,Bologna,230,LW
Jesper Karlsson,Lecce,16,LW
Jesper Karlström,Udinese,1523,CM
Jesper Lindstrøm,Everton,637,RW
Jesse Joronen,Venezia,630,GK
Jesus Rodríguez,Real Betis,105,LW
Jesus Vazquez,Valencia,653,LB
Jesús Areso,Osasuna,1532,RB
Jesús Navas,Sevilla,424,RW
Jesús Owono,Alavés,127,GK
Jesús Santiago,Getafe,291,CM
Jesús Vallejo,Real Madrid,11,CB
Jhoanner Chávez,Lens,596,WB
Jhon Durán,Aston Villa,602,FW
Jhon Lucumí,Bologna,1204,CB
Jhon Solis,Girona,339,CM
Jibril Othman,Saint-Étienne,5,FW
Jim Allevinah,Angers,872,RW
Jiří Letáček,Getafe,0,
Joachim Andersen,Crystal Palace,90,CB
Joachim Andersen,Fulham,963,CB
Joakim Mæhle,Wolfsburg,746,LB
Joan García,Espanyol,1710,GK
Joan Jordán,Alavés,642,DM
Joaquín Correa,Internazionale,62,FW
Joaquín Panichelli,Alavés,0,
Joe Aribo,Southampton,933,CM
Joe Gauci,Aston Villa,0,
Joe Gomez,Liverpool,519,CB
Joe Lumley,Southampton,270,GK
Joe O'Brien-Whitmarsh,Southampton,0,
Joe Scally,Mönchengladbach,1329,RB
Joe Willock,Newcastle United,548,LM
Joel Pohjanpalo,Venezia,1430,FW
Joel Roca,Girona,0,
Joel Ward,Crystal Palace,0,
Joelinton,Newcastle United,1589,LM
Jofre,Espanyol,1200,RM
Johan Manzambi,Freiburg,10,RW
Johan Mojica,Mallorca,1391,LB
Johan Vásquez,Genoa,1575,CB
Johann Lepenant,Nantes,1055,AM
Johannes Eggestein,St. Pauli,1207,FW
John Joe,Getafe,48,AM
John McGinn,Aston Villa,1254,LW
John Ruddy,Newcastle United,0,
John Stones,Manchester City,331,CB
John Yeboah,Venezia,331,AM
Johnny Cardoso,Real Betis,835,DM
Jon Aramburu,Real Sociedad,1197,RB
Jon Guridi,Alavés,1120,AM
Jon Magunazelaia,Real Sociedad,7,LM
Jon Martin,Real Sociedad,135,CB
Jon Moncayola,Osasuna,1088,RM
Jon Pacheco,Real Sociedad,476,CB
Jon Rowe,Marseille,423,FW
Jonah Kusi-Asare,Bayern Munich,0,
Jonas Föhrenbach,Heidenheim,1361,LB
Jonas Hofmann,Bayer Leverkusen,223,AM
Jonas Martin,Brest,458,CM
Jonas Omlin,Mönchengladbach,270,GK
Jonas Rouhi,Juventus,192,LB
Jonas Wind,Wolfsburg,751,AM
Jonathan Akaegbobi,Wolfsburg,0,
Jonathan Bamba,Celta Vigo,811,LW
Jonathan Burkardt,Mainz 05,1121,FW
Jonathan Clauss,Nice,899,WB
Jonathan David,Lille,1359,FW
Jonathan Gradit,Lens,766,CB
Jonathan Ikone,Fiorentina,243,RW
Jonathan Tah,Bayer Leverkusen,1440,CB
Joni Montiel,Rayo Vallecano,0,
Jonny Evans,Manchester United,290,CB
Jordan Amavi,Brest,790,LB
Jordan Ayew,Crystal Palace,21,FW
Jordan Ayew,Leicester City,913,AM
Jordan Ferri,Montpellier,967,DM
Jordan James,Rennes,484,CM
Jordan Lefort,Angers,1530,CB
Jordan Lotomba,Nice,35,LM
Jordan Pefok,Union Berlin,681,FW
Jordan Pickford,Everton,1710,GK
Jordan Teze,Monaco,307,RB
Jordan Veretout,Lyon,936,RM
Jordan Zemura,Udinese,896,WB
Jordi Paulina,Dortmund,0,
Jordy Makengo,Freiburg,81,LB
Jorge Benito,Getafe,0,
Jorge Cuenca,Fulham,93,CB
Jorge Gonzalez,Valladolid,0,
Jorge Herrando,Osasuna,555,CB
Jorge Sáenz,Leganés,696,CB
Jorge de Frutos,Rayo Vallecano,1326,RM
Jorginho,Arsenal,459,CM
Joris Chotard,Montpellier,745,DM
Josep Martinez,Internazionale,0,
Joseph Aidoo,Celta Vigo,2,CB
Joseph Lopy,Angers,0,
Joseph Okumu,Reims,652,CB
Josh Nichols,Arsenal,0,
Josh Wilson-Esbrand,Manchester City,0,
Josha Vagnoman,Stuttgart,1181,RB
Joshua Acheampong,Chelsea,90,CB
Joshua Kimmich,Bayern Munich,1440,DM
Joshua King,Fulham,73,AM
Joshua King,Toulouse,964,FW
Joshua Zirkzee,Manchester United,710,FW
Josip Brekalo,Fiorentina,0,
Josip Juranović,Union Berlin,65,RB
Josué Casimir,Le Havre,680,FW
José Arnaiz,Osasuna,45,LW
José Campaña,Las Palmas,719,DM
José Gragera,Espanyol,569,CM
José Luis García Vayá,Valencia,1085,CM
José Luis Gayà,Valencia,391,LB
José Luis Palomino,Cagliari,386,CB
José María Giménez,Atlético Madrid,1249,CB
José Sá,Wolverhampton Wanderers,990,GK
Jota,Rennes,334,LW
Jota Silva,Nottingham Forest,563,RW
João Costa,Roma,0,
João Félix,Chelsea,352,AM
João Gomes,Wolverhampton Wanderers,1351,CM
João Neves,Paris Saint-Germain,1087,CM
João Palhinha,Bayern Munich,349,DM
João Pedro,Brighton & Hove Albion,1039,FW
João Urbáez,Leganés,0,
João Virgínia,Everton,0,
Joël Schingtienne,Venezia,91,AM
Joël Veltman,Brighton & Hove Albion,1200,RB
Joško Gvardiol,Manchester City,1662,LB
Juan Bernat,Villarreal,212,LB
Juan Berrocal,Getafe,611,CB
Juan Carlos,Girona,0,
Juan Cruz,Leganés,1075,RW
Juan Cruz Armada,Osasuna,655,LB
Juan Cuadrado,Atalanta,154,WB
Juan David Cabal,Juventus,449,LB
Juan Foyth,Villarreal,25,RB
Juan Herzog,Las Palmas,512,CB
Juan Jesus,Napoli,438,CB
Juan Miranda,Bologna,1116,LB
Juan Musso,Atalanta,90,GK
Juan Musso,Atlético Madrid,90,GK
Juan Soriano,Leganés,540,GK
Juanlu Sánchez,Sevilla,674,AM
Juanmi,Real Betis,218,LW
Juanmi Latasa,Valladolid,524,FW
Juanpe,Girona,327,CB
Juanpe,Rayo Vallecano,0,
Jubal,Auxerre,1297,CB
Jude Bellingham,Real Madrid,1230,LM
Julen Agirrezabala,Athletic Club,1206,GK
Julen Lartitegi,Alavés,0,
Jules Koundé,Barcelona,1525,RB
Jules Stawiecki,Monaco,0,
Julian Araujo,Bournemouth,355,RB
Julian Brandt,Dortmund,1067,AM
Julian Chabot,Stuttgart,1184,CB
Julian Ryerson,Dortmund,1035,RB
Julian Weigl,Mönchengladbach,1302,DM
Julien Duranville,Dortmund,81,LW
Julien Le Cardinal,Brest,793,CB
Julien Yanda,St. Pauli,0,
Julio Enciso,Brighton & Hove Albion,293,AM
Julián Chicco,Leganés,181,DM
Julián Malatini,Werder Bremen,430,CB
Julián Álvarez,Atlético Madrid,1186,FW
Junior Adamu,Freiburg,821,FW
Junior Ajayi,Hellas Verona,0,
Junior Dina Ebimbe,Eintracht Frankfurt,281,LM
Junior Messias,Genoa,198,CM
Junior Mwanga,Strasbourg,296,CM
Junior Ndiaye,Montpellier,69,FW
Junior Sambia,Empoli,55,RW
Junya Ito,Reims,1490,RW
Jurgen Ekkelenkamp,Udinese,625,CM
Jurriën Timber,Arsenal,1395,LB
Justin Devenny,Crystal Palace,232,AM
Justin Diehl,Stuttgart,83,RW
Justin Kluivert,Bournemouth,1196,AM
Justin Njinmah,Werder Bremen,463,AM
Justin Smith,Espanyol,209,CM
Jérémy Le Douaron,Brest,102,FW
Jérémy Sebas,Strasbourg,153,FW
Jérôme Roussillon,Union Berlin,11,WB
Jørgen Strand Larsen,Wolverhampton Wanderers,1444,FW
Kacper Urbanski,Bologna,157,AM
Kadan Young,Aston Villa,0,
Kaden Rodney,Crystal Palace,0,
Kaelan Casey,West Ham United,1,CB
Kai Havertz,Arsenal,1480,FW
Kaishu Sano,Mainz 05,1423,CM
Kalvin Phillips,Ipswich Town,688,DM
Kamaldeen Sulemana,Southampton,130,LW
Kamil Grabara,Wolfsburg,1440,GK
Kamory Doumbia,Brest,660,AM
Kandet Diawara,Le Havre,4,RW
Kaoru Mitoma,Brighton & Hove Albion,1575,LW
Karim Adeyemi,Dortmund,416,RW
Karim Onisiwo,Mainz 05,110,FW
Karl Etta,Villarreal,0,
Karl Jakob Hein,Valladolid,1710,GK
Karl-Johan Johnsson,Strasbourg,270,GK
Karol Fila,Strasbourg,5,CM
Karol Linetty,Torino,1191,CM
Karol Mets,St. Pauli,900,CB
Kasey McAteer,Leicester City,334,LB
Kassoum Ouattara,Monaco,331,LB
Kauã Santos,Eintracht Frankfurt,405,GK
Keane Lewis-Potter,Brentford,1559,LB
Keinan Davis,Udinese,602,FW
Keito Nakamura,Reims,1312,LW
Keke Maximilian Topp,Werder Bremen,194,AM
Kelechi Iheanacho,Sevilla,400,FW
Kelvin Amian,Nantes,1067,RB
Kembo Diliwidi,Lens,4,LB
Kenan Yıldız,Juventus,934,LW
Kenedy,Valladolid,9,CM
Kenneth Schmidt,Freiburg,0,
Kenny Lala,Brest,1246,RB
Kenny Tete,Fulham,1262,RB
Kepa Arrizabalaga,Bournemouth,1260,GK
Kerim Alajbegović,Bayer Leverkusen,0,
Keven Schlotterbeck,Augsburg,1033,CB
Kevin Akpoguma,Hoffenheim,1061,CB
Kevin Behrens,Wolfsburg,110,FW
Kevin Bonifazi,Lecce,30,CB
Kevin Danso,Lens,1080,CB
Kevin De Bruyne,Manchester City,823,CM
Kevin Kampl,RB Leipzig,839,CM
Kevin Martins,Monza,17,WB
Kevin Müller,Heidenheim,1440,GK
Kevin Schade,Brentford,944,FW
Kevin Stöger,Mönchengladbach,728,AM
Kevin Trapp,Eintracht Frankfurt,1035,GK
Kevin Vogt,Union Berlin,1151,CB
Kevin Volland,Union Berlin,6,AM
Kevin Zeroli,Milan,12,DM
Keyliane Abdallah,Marseille,3,RW
Khalil Fayad,Montpellier,289,DM
Khvicha Kvaratskhelia,Napoli,1069,LW
Khéphren Thuram,Juventus,839,DM
Ki-Jana Hoever,Auxerre,1020,WB
Kialonda,Lecce,1350,CB
Kieran Tierney,Arsenal,0,
Kieran Trippier,Newcastle United,483,RB
Kiernan Dewsbury-Hall,Chelsea,59,AM
Kike Barja,Osasuna,69,FW
Kike Pérez,Valladolid,1072,CM
Kike Salas,Sevilla,900,CB
Kiko Femenía,Villarreal,1365,RB
Kiké,Alavés,1096,FW
Kilian Fischer,Wolfsburg,1142,RB
Kiliann Sildillia,Freiburg,79,RW
Killian Cahill,Brighton & Hove Albion,0,
Kim Jisoo,Brentford,29,CB
Kim Min-jae,Bayern Munich,1375,CB
Kim Minsu,Girona,22,CM
Kingsley Coman,Bayern Munich,653,LW
Kingsley Ehizibue,Udinese,1511,WB
Kingstone Mutandwa,Cagliari,47,AM
Kirian Rodríguez,Las Palmas,1523,CM
Kjell-Arik Wätjen,Dortmund,16,AM
Ko Itakura,Mönchengladbach,1440,CB
Kobbie Mainoo,Manchester United,1098,CM
Kobi Henry,Reims,0,
Koji Miyoshi,Bochum,343,LM
Koke,Atlético Madrid,1147,CM
Koni De Winter,Genoa,819,CB
Konrad Laimer,Bayern Munich,573,RB
Konstantinos Koulierakis,Wolfsburg,1106,CB
Konstantinos Mavropanos,West Ham United,1017,CB
Kosta Nedeljković,Aston Villa,118,RB
Kostas Tsimikas,Liverpool,253,LB
Kristijan Jakić,Augsburg,1093,CM
Kristjan Asllani,Internazionale,266,CM
Kristoffer Ajer,Brentford,717,LB
Krisztofer Horváth,Torino,0,
Krépin Diatta,Monaco,196,RB
Kyle Walker,Manchester City,970,RB
Kyle Walker-Peters,Southampton,1335,WB
Kylian Mbappé,Real Madrid,1459,FW
Kyllian Antonio,Lens,0,
Kévin Danois,Auxerre,886,CM
Kévin Pedro,Saint-Étienne,10,LB
Ladislav Krejčí,Girona,910,CB
Lalo Aguilar,Leganés,0,
Lamare Bogarde,Aston Villa,213,RB
Lameck Banda,Lecce,468,LW
Lamine Camara,Monaco,1017,DM
Lamine Fomba,Saint-Étienne,70,DM
Lamine Yamal,Barcelona,1274,RW
Lars Ritzka,St. Pauli,449,WB
Lars Strobl,Hoffenheim,0,
Lassana Coulibaly,Lecce,861,CM
Lasse Rieß,Mainz 05,0,
Lasse Rosenboom,Holstein Kiel,548,WB
Lassine Sinayoko,Auxerre,1214,FW
Lasso Coulibaly,Auxerre,38,FW
Laurenzo Alvarenga,Nice,0,
Lautaro Gianetti,Udinese,840,CB
Lautaro Martínez,Internazionale,1245,FW
Lautaro Valenti,Parma,287,CB
Lazar Samardzic,Atalanta,427,AM
Leandro Cabrera,Espanyol,1260,CB
Leandro Chichizola,Parma,90,GK
Leandro Paredes,Roma,461,CM
Leandro Trossard,Arsenal,1110,LW
Lee Jae-sung,Mainz 05,1265,AM
Lee Kang-in,Paris Saint-Germain,999,RW
Leif Davis,Ipswich Town,1800,LB
Lennard Maloney,Heidenheim,760,DM
Leny Yoro,Manchester United,250,CB
Leo Román,Mallorca,450,GK
Leo Skiri Østigård,Rennes,1073,CB
Leon Bailey,Aston Villa,919,RW
Leon Goretzka,Bayern Munich,556,DM
Leonardo Balerdi,Marseille,1174,CB
Leonardo Baroncelli,Fiorentina,0,
Leonardo Bittencourt,Werder Bremen,480,CM
Leonardo Colombo,Monza,0,
Leonardo Pavoletti,Cagliari,170,FW
Leonardo Spinazzola,Napoli,394,LB
Leonidas Stergiou,Stuttgart,210,RB
Leopold Querfeld,Union Berlin,554,CB
Leopold Zingerle,RB Leipzig,0,
Leroy Sané,Bayern Munich,637,RW
Lesley Ugochukwu,Southampton,344,CM
Levi Colwill,Chelsea,1709,CB
Lewis Cook,Bournemouth,1582,DM
Lewis Dunk,Brighton & Hove Albion,1264,CB
Lewis Ferguson,Bologna,189,AM
Lewis Hall,Newcastle United,1588,LB
Lewis Holtby,Holstein Kiel,759,CM
Lewis Miley,Newcastle United,12,LM
Lewis Orford,West Ham United,0,
Liam Delap,Ipswich Town,1441,FW
Liam Henderson,Empoli,961,CM
Liberato Cacace,Empoli,489,WB
Lilian Brassier,Marseille,629,CB
Lilian Raolisoa,Angers,271,RB
Lionel Voufack,RB Leipzig,0,
Lior Kasa,Genoa,49,CM
Lisandro Martínez,Manchester United,1490,CB
Llorenç Serred,Espanyol,0,
Lloyd Kelly,Newcastle United,299,LB
Logan Costa,Toulouse,90,CB
Logan Costa,Villarreal,1141,CB
Lois Diony,Angers,21,FW
Lorenz Assignon,Rennes,1035,WB
Lorenzo Aguado,Real Madrid,0,
Lorenzo Anghelè,Juventus,6,RW
Lorenzo Bernasconi,Atalanta,0,
Lorenzo Colombo,Empoli,1366,FW
Lorenzo De Silvestri,Bologna,424,RB
Lorenzo Lucca,Udinese,1190,FW
Lorenzo Lucchesi,Venezia,0,
Lorenzo Montipò,Hellas Verona,1710,GK
Lorenzo Pellegrini,Roma,900,AM
Lorenzo Riccio,Atalanta,0,
Lorenzo Torriani,Milan,0,
Lorenzo Tosto,Empoli,0,
Louis Leroux,Nantes,18,AM
Louis Mouton,Saint-Étienne,689,CM
Loum Tchaouna,Lazio,332,RW
Lovro Majer,Wolfsburg,145,AM
Loïc Bade,Sevilla,1281,CB
Loïc N'Gatta,Auxerre,0,
Loïc Nego,Le Havre,957,RB
Loïs Openda,RB Leipzig,1347,FW
Luc Zogbé,Brest,310,LB
Luca Belardinelli,Empoli,0,
Luca Caldirola,Monza,490,CB
Luca Kerber,Heidenheim,198,CM
Luca Lohr,Getafe,0,
Luca Marianucci,Empoli,61,CB
Luca Mazzitelli,Como,153,DM
Luca Netz,Mönchengladbach,580,LB
Luca Pellegrini,Lazio,434,LB
Luca Philipp,Hoffenheim,0,
Luca Ranieri,Fiorentina,1465,CB
Luca Williams Barnett,Tottenham Hotspur,0,
Luca de la Torre,Celta Vigo,4,CM
Lucas Beltrán,Fiorentina,787,AM
Lucas Beraldo,Paris Saint-Germain,905,LB
Lucas Bergvall,Tottenham Hotspur,202,DM
Lucas Chevalier,Lille,1530,GK
Lucas Da Cunha,Como,739,DM
Lucas Digne,Aston Villa,1502,LB
Lucas García,Girona,0,
Lucas Hernández,Paris Saint-Germain,115,LB
Lucas Höler,Freiburg,634,AM
Lucas Martínez Quarta,Fiorentina,334,CB
Lucas Michal,Monaco,0,
Lucas Michel,Monaco,29,MF
Lucas Mincarelli,Montpellier,251,LB
Lucas Ocampos,Sevilla,175,LW
Lucas Oliveira Rosa,Valladolid,1620,LB
Lucas Paquetá,West Ham United,1287,CM
Lucas Perri,Lyon,1530,GK
Lucas Stassin,Saint-Étienne,709,FW
Lucas Torró,Osasuna,1550,CM
Lucas Tousart,Union Berlin,181,CM
Lucas Vázquez,Real Madrid,971,RB
Lucien Agoume,Sevilla,1017,DM
Ludovic Ajorque,Brest,1129,FW
Ludovic Blas,Rennes,1388,AM
Ludovic Butelle,Reims,0,
Luis Díaz,Liverpool,1116,LW
Luis Guilherme,West Ham United,42,RM
Luis Hasa,Lecce,0,
Luis Hasa,Napoli,0,
Luis Henrique,Marseille,1311,LW
Luis Milla,Getafe,1694,CM
Luis Pérez,Valladolid,1580,RB
Luis Rioja,Alavés,23,LW
Luis Rioja,Valencia,1487,LM
Luis Sinisterra,Bournemouth,208,LW
Luiz Lúcio Reis Júnior,Villarreal,288,GK
Luka Jović,Milan,79,FW
Luka Modrić,Real Madrid,841,CM
Luka Romero,Alavés,199,RW
Luka Sučić,Real Sociedad,1065,CM
Luka Topalović,Internazionale,0,
Lukas Daschner,Bochum,381,FW
Lukas Klostermann,RB Leipzig,849,CB
Lukas Kübler,Freiburg,1221,RB
Lukas Nmecha,Wolfsburg,132,FW
Lukas Ullrich,Mönchengladbach,634,LB
Luke Cundle,Wolverhampton Wanderers,0,
Luke Shaw,Manchester United,70,CB
Luke Thomas,Leicester City,179,LB
Luke Woolfenden,Ipswich Town,647,CB
Lukáš Hrádecký,Bayer Leverkusen,1350,GK
Lutsharel Geertruida,RB Leipzig,920,CB
László Bénes,Union Berlin,193,AM
Léo Botz,Brest,0,
Léo Pétrot,Saint-Étienne,1129,LB
Léo Scienza,Heidenheim,762,LW
M'Bala Nzola,Lens,865,FW
Maarten Vandevoordt,RB Leipzig,135,GK
Maat Daniel Caprini,Fiorentina,0,
Madiou Keïta,Auxerre,0,
Mads Hermansen,Leicester City,1395,GK
Mads Pedersen,Augsburg,219,WB
Mads Roerslev,Brentford,835,RB
Maduka Okoye,Udinese,1260,GK
Maghnes Akliouche,Monaco,1045,RW
Magnus Knudsen,Holstein Kiel,926,CM
Magnus Kofod Andersen,Venezia,695,CM
Mahamadou Diawara,Lyon,16,AM
Mahamadou Nagida,Rennes,328,WB
Mahdi Camara,Brest,1218,RM
Mahmoud Dahoud,Eintracht Frankfurt,320,CM
Mahmut Kücüksahin,Augsburg,0,
Malachi Hardy,Tottenham Hotspur,0,
Malang Sarr,Lens,294,CB
Maldini Kacurri,Arsenal,0,
Malick Fofana,Lyon,983,LW
Malick Thiaw,Milan,1080,CB
Malo Gusto,Chelsea,1240,RB
Mama Samba Baldé,Brest,714,FW
Mama Samba Baldé,Lyon,33,RW
Mamadou Coulibaly,Monaco,0,
Mamadou Diakhon,Reims,182,LW
Mamadou Sarr,Strasbourg,947,CB
Mamadou Sylla,Valladolid,756,FW
Mamady Bangré,Toulouse,0,
Mandela Keita,Parma,441,DM
Manolis Saliakas,St. Pauli,1143,RM
Manu Bueno,Sevilla,74,DM
Manu González,Real Betis,0,
